x,T
0,100
0.102041,126.572
0.204082,152.123
0.306122,176.654
0.408163,200.165
0.510204,222.655
0.612245,244.125
0.714286,264.574
0.816327,284.003
0.918367,302.412
1.02041,319.8
1.12245,336.168
1.22449,351.515
1.32653,365.842
1.42857,379.149
1.53061,391.435
1.63265,402.7
1.73469,412.946
1.83673,422.171
1.93878,430.375
2.04082,437.559
2.14286,443.723
2.2449,448.866
2.34694,452.989
2.44898,456.092
2.55102,458.174
2.65306,459.235
2.7551,459.276
2.85714,458.297
2.95918,456.298
3.06122,453.278
3.16327,449.237
3.26531,444.176
3.36735,438.095
3.46939,430.994
3.57143,422.872
3.67347,413.729
3.77551,403.566
3.87755,392.383
3.97959,380.179
4.08163,366.955
4.18367,352.711
4.28571,337.446
4.38776,321.161
4.4898,303.855
4.59184,285.529
4.69388,266.182
4.79592,245.815
4.89796,224.428
5,202.02
