x,phi,rhs,residual
0.003125,nan,1000,nan
0.009375,nan,1000,nan
0.015625,nan,1000,nan
0.021875,nan,1000,nan
0.028125,nan,1000,nan
0.034375,nan,1000,nan
0.040625,nan,1000,nan
0.046875,nan,1000,nan
0.053125,nan,1000,nan
0.059375,nan,1000,nan
0.065625,nan,1000,nan
0.071875,nan,1000,nan
0.078125,nan,1000,nan
0.084375,nan,1000,nan
0.090625,nan,1000,nan
0.096875,nan,1000,nan
0.103125,nan,1000,nan
0.109375,nan,1000,nan
0.115625,nan,1000,nan
0.121875,nan,1000,nan
0.128125,nan,1000,nan
0.134375,nan,1000,nan
0.140625,nan,1000,nan
0.146875,nan,1000,nan
0.153125,nan,1000,nan
0.159375,nan,1000,nan
0.165625,nan,1000,nan
0.171875,nan,1000,nan
0.178125,nan,1000,nan
0.184375,nan,1000,nan
0.190625,nan,1000,nan
0.196875,nan,1000,nan
0.203125,nan,1000,nan
0.209375,nan,1000,nan
0.215625,nan,1000,nan
0.221875,nan,1000,nan
0.228125,nan,1000,nan
0.234375,nan,1000,nan
0.240625,nan,1000,nan
0.246875,nan,1000,nan
0.253125,nan,1000,nan
0.259375,nan,1000,nan
0.265625,nan,1000,nan
0.271875,nan,1000,nan
0.278125,nan,1000,nan
0.284375,nan,1000,nan
0.290625,nan,1000,nan
0.296875,nan,1000,nan
0.303125,nan,1000,nan
0.309375,nan,1000,nan
0.315625,nan,1000,nan
0.321875,nan,1000,nan
0.328125,nan,1000,nan
0.334375,nan,1000,nan
0.340625,nan,1000,nan
0.346875,nan,1000,nan
0.353125,nan,1000,nan
0.359375,nan,1000,nan
0.365625,nan,1000,nan
0.371875,nan,1000,nan
0.378125,nan,1000,nan
0.384375,nan,1000,nan
0.390625,nan,1000,nan
0.396875,nan,1000,nan
0.403125,nan,1000,nan
0.409375,nan,1000,nan
0.415625,nan,1000,nan
0.421875,nan,1000,nan
0.428125,nan,1000,nan
0.434375,nan,1000,nan
0.440625,nan,1000,nan
0.446875,nan,1000,nan
0.453125,nan,1000,nan
0.459375,nan,1000,nan
0.465625,nan,1000,nan
0.471875,nan,1000,nan
0.478125,nan,1000,nan
0.484375,nan,1000,nan
0.490625,nan,1000,nan
0.496875,nan,1000,nan
