x,y,z,phi,rhs,residual
0.0375,0,0,302.5,800000,0
0.1125,0,0,307.5,0,-1.16415e-10
0.1875,0,0,312.5,0,2.32831e-10
0.2625,0,0,317.5,0,-1.16415e-10
0.3375,0,0,322.5,0,0
0.4125,0,0,327.5,0,0
0.4875,0,0,332.5,0,0
0.5625,0,0,337.5,0,0
0.6375,0,0,342.5,0,0
0.7125,0,0,347.5,0,0
0.7875,0,0,352.5,0,0
0.8625,0,0,357.5,0,1.16415e-10
0.9375,0,0,362.5,0,0
1.0125,0,0,367.5,0,0
1.0875,0,0,372.5,0,0
1.1625,0,0,377.5,0,-1.16415e-10
1.2375,0,0,382.5,0,-1.16415e-10
1.3125,0,0,387.5,0,1.16415e-10
1.3875,0,0,392.5,0,1.16415e-10
1.4625,0,0,397.5,1.06667e+06,2.32831e-10
0,0,0,300,0,0
1.5,0,0,400,0,0
